Reporting - Report PO | PIM;;;;;;;;;;;;;;;
Purchase Order No;Supplier Name;Order Date;Delivery Date;Item ID;Item Name;Item Description;Quantity Ordered;Quantity Delivered;Unit Price;Total Cost;Delivery Status;Defect Rate;Category Barang;Approval Time;Procurment Lead Time
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31646;MATA GERGAJI / CHAINSAW;-;"1,00";;15000;"15.000,00";Dalam Proses;0%;PERALATAN KERJA LAPANGAN;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31204;PIPA PVC;Pipa 1 1/4 inch AW;"1,00";;48000;"48.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31204;PIPA PVC;Pipa L 1 1/4 inch AW;"5,00";;10000;"50.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31743;SELANG AIR;4 Meter;"4,00";;20000;"80.000,00";Dalam Proses;0%;PERALATAN KERJA LAPANGAN;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31223;SELANG FLEXIBLE;Selang wastafel;"1,00";;15000;"15.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31239;SENG TALANG;Uk. 0.25 x 60;"1,50";;10700;"16.050,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31106;SERAT FIBER;-;"10,00";;5000;"50.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;31071;SKRUP;Sekrup Roofing kuning 3 cm;"100,00";;400;"40.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;1 Hari;
0008/PO/CD/IV/2023/CIC/MKESE;TOKO GS;04-04-2023;;30282;SODA API;-;"2,00";;20000;"40.000,00";Dalam Proses;0%;CHEMICAL;1 Hari;
0009/PO/CD/I/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;12-01-2023;;31370;BILLBOARD;"Bahan: flexi, Uk. 10x5meter, lokasi: taman cileungsi, materi: harga rumah 236jt-an DP 0%";"1,00";;1625000;"1.625.000,00";Dalam Proses;0%;MEDIA INFORMASI;6 Hari;
0009/PO/CD/I/2023/CIC/CI;PT. PLATBOARD LUTSINDO - Bekasi;12-01-2023;;31370;BILLBOARD;"Bahan: flexi, Uk. 2x3meter, lokasi: cikarang cibarusah, materi: harga rumah 236jt-an DP 0%";"7,00";;385000;"2.695.000,00";Dalam Proses;0%;MEDIA INFORMASI;6 Hari;
0009/PO/CD/II/2023/CIC/CIE;TOKO GS;11-02-2023;04-03-2023;31035;LEM SEALANT;"Dowsill Glass, kemasan 300ml";"1,00";"1,00";60000;"60.000,00";Finish;0%;MATERIAL KONSTRUKSI;2 Hari;21 Hari
0009/PO/CD/II/2023/CIC/MKES;Dodi Kohanta - Jonggol;15-02-2023;;31052;BATU BELAH;Batu belah;"151,43";;275000;"41.643.250,00";Dalam Proses;100%;MATERIAL KONSTRUKSI;1 Hari;
