Purchase Order No,Supplier Name,Order Date,Delivery Date,Item Name,Item Description,Quantity Ordered,Quantity Delivered,Unit Price,Total Cost,Delivery Status,Defect Rate,Category Barang,Approval Time (Hari),Procurment Lead Time (Hari)
0008/PO/CD/III/2024/CIC/MKESE,TOKO GS,20-03-2024,29-04-2024,LEM SEALANT,Sealant warna putih,5,5,"45,000.00","225,000.00",Finish,0%,MATERIAL KONSTRUKSI,1,40
0009/PO/CD/I/2024/CIC/CI,TOKO NATASHA - BOGOR,11/1/2024,14-03-2024,MINUMAN,"Teh Kotak, 200ml, kemasan karton isi 24 pcs",10,10,"78,000.00","780,000.00",Finish,0%,MAKANAN DAN MINUMAN,1,63
0009/PO/CD/I/2024/CIC/CIE,MICHAEL MURRY - JAKARTA,11/1/2024,20-03-2024,MEJA PLASTIK,"Garden table GT-1, warna putih, bahan plastik",7,7,"575,000.00","4,025,000.00",Finish,0%,FURNITURE - DEKORASI,1,69
0009/PO/CD/II/2024/CIC/AIMP,PT. MITRA PERSADA SARANA TEKNOLOGI - JAKARTA,29-02-2024,20-03-2024,LAPTOP/ NOTEBOOK,"Intel Core i5-1135G7 up 4,2ghz, 8GB DDR 4, OS Windows 11 Prof 64bit, 14"" FHD, Anti Glare LED",1,1,"12,072,072.00","12,072,072.00",Finish,0%,KOMPUTER,6,20
0009/PO/CD/II/2024/CIC/MKES,Toko Pasific Elektronik -  Jonggol,24-02-2024,7/3/2024,AC SPLIT WALL,"AC 1/2PK, Tipe KR5AHQ",1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,5,12
0009/PO/CD/III/2024/CIC/MKESE,SAHABAT USAHA TEKNIK - BOGOR,22-03-2024,24-04-2024,LAMPU,Lampu Bohlam LED 10 Watt Merk Philips,20,20,"45,000.00","900,000.00",Finish,0%,LISTRIK,3,33
0010/PO/CD/I/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,23-01-2024,28-02-2024,SPANDUK,"Bahan flexi, ukuran 2x3 meter, materi: panah kiri, lokasi: cileungsi & cibarusah",2,2,"385,000.00","770,000.00",Finish,0%,MEDIA INFORMASI,6,36
0010/PO/CD/I/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,23-01-2024,28-02-2024,SPANDUK,"Bahan flexi, ukuran 2x3 meter, materi: panah kanan, lokasi: cileungsi & cibarusah",3,3,"385,000.00","1,155,000.00",Finish,0%,MEDIA INFORMASI,6,36
0010/PO/CD/I/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,23-01-2024,28-02-2024,SPANDUK,"Bahan flexi, ukuran 2x3 meter, materi: panah atas, lokasi: cileungsi & cibarusah",19,19,"385,000.00","7,315,000.00",Finish,0%,MEDIA INFORMASI,6,36
0010/PO/CD/I/2024/CIC/CIE,DUNIA PERAHU - JAKARTA,11/1/2024,31-01-2024,HARDENER,Hardener ER 42 30 gr,3,3,"100,000.00","300,000.00",Finish,0%,CHEMICAL,2,20
0010/PO/CD/II/2024/CIC/MKES,Alvin Azizi - Tangerang,24-02-2024,12/3/2024,UMBUL UMBUL,"Bahan polyester, ukuran 5x 1,15 meter, materi : Ruko Sakura",50,50,"42,500.00","2,125,000.00",Finish,0%,KARYA SENI - PENGHARGAAN -SIMBOL,4,17
0010/PO/CD/IV/2024/CIC/MKESE,KAMIKO FURNITURE - TOKOPEDIA (Jakarta),23-04-2024,,RODA,Kaki kursi kantor PP ukuran 340mm plus roda tancap nylon. Diameter lubang tengah 5cm,2,,"139,000.00",0,Dalam Proses,0%,PERALATAN KERJA LAPANGAN,4,
0011/PO/CD/I/2024/CIC/CI,Toko Pasific Elektronik -  Jonggol,23-01-2024,15-02-2024,AC SPLIT WALL,"AC 1/2PK, Tipe KCR5AHQ",3,3,"2,300,000.00","6,900,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,6,23
0011/PO/CD/I/2024/CIC/CIE,AXIO STORE ID - TOKOPEDIA,11/1/2024,,JAS HUJAN,"Stel baju & celana, ukuran L, bahan taslan, 2 lapisan",1,,"275,000.00",0,Dalam Proses,0%,FASHION,1,
0011/PO/CD/II/2024/CIC/AIMP,Toko Pasific Elektronik -  Jonggol,29-02-2024,6/3/2024,AC SPLIT WALL,"Tipe KR05AHQ, 1/2 PK",1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,18,6
0011/PO/CD/II/2024/CIC/AIMP,Toko Pasific Elektronik -  Jonggol,29-02-2024,6/3/2024,AC SPLIT WALL,"Tipe KR05AHQ, 1/2 PK",1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,18,6
0012/PO/CD/I/2024/CIC/CI,Desti Advertising - Bekasi,23-01-2024,12/3/2024,STIKER NAMA KARYAWAN,"Lembaran A3, sticker digital printing fronlight, non laminating, a.n Indah",5,5,"27,000.00","135,000.00",Finish,0%,RUPA - RUPA,6,49
0012/PO/CD/I/2024/CIC/CI,Desti Advertising - Bekasi,23-01-2024,12/3/2024,STIKER NAMA KARYAWAN,"Lembaran A3, sticker digital printing fronlight, non laminating, a.n Afdhal",5,5,"27,000.00","135,000.00",Finish,0%,RUPA - RUPA,6,49
0012/PO/CD/I/2024/CIC/CI,Desti Advertising - Bekasi,23-01-2024,12/3/2024,STIKER NAMA KARYAWAN,"Lembaran A3, sticker digital printing fronlight, non laminating, a.n Revia",5,5,"27,000.00","135,000.00",Finish,0%,RUPA - RUPA,6,49
0012/PO/CD/I/2024/CIC/CI,Desti Advertising - Bekasi,23-01-2024,12/3/2024,STIKER NAMA KARYAWAN,"Lembaran A3, sticker digital printing fronlight, non laminating, a.n Alvin",5,5,"27,000.00","135,000.00",Finish,0%,RUPA - RUPA,6,49
0012/PO/CD/I/2024/CIC/CIE,CV. Andora Ropitama - Jakarta,23-01-2024,,CHIP LED,"Warna Putih, 30 Watt",50,,"55,500.00",0,Dalam Proses,0%,LISTRIK,7,
0012/PO/CD/I/2024/CIC/CIE,CV. Andora Ropitama - Jakarta,23-01-2024,,DRIVER LAMPU LED,"Warna Putih, 30 Watt, 900 MA",50,,"61,050.00",0,Dalam Proses,0%,LISTRIK,7,
0012/PO/CD/II/2024/CIC/MKES,CV. Sanjaya - Bekasi,24-02-2024,29-02-2024,BROSUR,"Materi: Bukit Viola, art cartoon 260gr, laminasi doft, lipat 3",2000,2000,"5,000.00","10,000,000.00",Finish,0%,MEDIA INFORMASI,3,5
0012/PO/CD/III/2024/CIC/AIMP,TOKO JASA TANI JONGGOL - BOGOR,5/3/2024,18-04-2024,PUPUK,Kemasan 1 kg,10,10,"24,000.00","240,000.00",Finish,0%,PERTAMANAN,7,44
0013/PO/CD/I/2024/CIC/CI,DASW - Bekasi,26-01-2024,13-02-2024,ORDNER - ODNER,"Tipe 717, warna hitam",5,5,"355,000.00","1,775,000.00",Finish,0%,ALAT TULIS KANTOR,1,18
0013/PO/CD/I/2024/CIC/CIE,PT. PLATBOARD LUTDESINDO,23-01-2024,28-02-2024,SPANDUK,"Materi waterpark, bahan flexi, ukuran 2,4 x 3.63 meter, posisi sebrang SPBU CIC",1,1,"446,020.00","446,020.00",Finish,0%,MEDIA INFORMASI,11,36
0013/PO/CD/II/2024/CIC/MKES,Alvin Azizi - Tangerang,24-02-2024,6/3/2024,SPANDUK,"Bahan polyster, sablon, Uk. 1,15x8 meter, materi : Citra Indah avenue tahap 2",100,100,"68,000.00","6,800,000.00",Finish,0%,MEDIA INFORMASI,2,11
0013/PO/CD/III/2024/CIC/AIMP,Ace Hardware - Cibubur,19-03-2024,5/4/2024,TEMPAT SAMPAH,"Kapasitas 120 liter, warna biru, material: plastik, 2 roda",63,63,"479,900.00","30,233,700.00",Finish,0%,KEBERSIHAN,1,17
0014/PO/CD/I/2024/CIC/CI,DASW - Bekasi,26-01-2024,13-02-2024,KERTAS A4,"Kertas A4 75GR, warna putih, BMO",100,100,"49,000.00","4,900,000.00",Finish,0%,ALAT TULIS KANTOR,1,18
0014/PO/CD/I/2024/CIC/CIE,PT. PLATBOARD LUTDESINDO,26-01-2024,,SPANDUK,"Bahan flexi, ukuran 8x6 meter, materi harga Waterpark",1,,"1,580,000.00",0,Dalam Proses,0%,MEDIA INFORMASI,1,
0014/PO/CD/II/2024/CIC/MKES,CV. Sanjaya - Bekasi,24-02-2024,12/3/2024,BROSUR,"Pricelist Viola, Cetak hitam putih, 2 muka, materi : kertas A4, per : 30 Okt 2023",2500,2500,250,"625,000.00",Finish,0%,MEDIA INFORMASI,2,17
0014/PO/CD/III/2024/CIC/AIMP,PT. PLATBOARD LUTDESINDO,22-03-2024,6/5/2024,BILLBOARD,"Uk 9 x 7 meter, lokasi dpn pom bensin, materi : permai ramadhan",1,1,"1,917,500.00","1,917,500.00",Finish,0%,MEDIA INFORMASI,2,45
0015/PO/CD/I/2024/CIC/CI,Alvin Azizi - Tangerang,29-01-2024,19-02-2024,SPANDUK,"Polyster sablon, Uk. 1,15x8 meter, materi : rumah siap huni hemat 120juta",100,100,"68,000.00","6,800,000.00",Finish,0%,MEDIA INFORMASI,4,21
0015/PO/CD/I/2024/CIC/CIE,PT. PLATBOARD LUTDESINDO,26-01-2024,,SPANDUK,"Bahan flexi, materi: harga Waterpark, ukuran 249x130 cm, posisi sebelum SPBU & perempatan jalan B. Bunga",2,,"300,437.00",0,Dalam Proses,0%,MEDIA INFORMASI,1,
0015/PO/CD/II/2024/CIC/MKES,PT. PLATBOARD LUTDESINDO,26-02-2024,6/3/2024,BILLBOARD,"Bahan flexi , ukuran 5x10 meter, materi : Hemat hingga 120jutaan. posisi : taman Cileungsi",1,1,"1,625,000.00","1,625,000.00",Finish,0%,MEDIA INFORMASI,4,9
0015/PO/CD/III/2024/CIC/AIMP,PT. MITRA PERSADA SARANA TEKNOLOGI - JAKARTA,22-03-2024,4/4/2024,SOFTWARE MICROSOFT WINDOWS,MICROSOFT OFFICE HOME & BUSSINESS 2021,1,1,"3,900,000.00","3,900,000.00",Finish,0%,KOMPUTER,0,13
0016/PO/CD/I/2024/CIC/CI,GUDANG LEPTOP - TOKOPEDIA,29-01-2024,,CASING KOMPUTER,Casing LCD Bagian Belakang Warna Hitam Notebook Lenovo V310-14iKB,1,,"370,000.00",0,Dalam Proses,0%,KOMPUTER,4,
0016/PO/CD/II/2024/CIC/MKES,PT. PLATBOARD LUTDESINDO,29-02-2024,6/3/2024,BILLBOARD,"Bahan flexi , ukuran 10x7 meter, materi : citraindah avenue tahap 2. posisi bundaran FM",1,1,"2,075,000.00","2,075,000.00",Finish,0%,MEDIA INFORMASI,18,6
0016/PO/CD/II/2024/CIC/MKES,PT. PLATBOARD LUTDESINDO,29-02-2024,6/3/2024,BILLBOARD,"Bahan flexi , ukuran 17,5x2,5 meter, materi : citra indah avenue tahap 2. posisi underpass hadap selatan, (1 sisi)",1,1,"1,484,375.00","1,484,375.00",Finish,0%,MEDIA INFORMASI,18,6
0016/PO/CD/III/2024/CIC/AIMP,Toko Pasific Elektronik -  Jonggol,26-03-2024,23-04-2024,AC SPLIT WALL,1 AC 1/2 Pk,1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,0,28
0017/PO/CD/I/2024/CIC/CI,ASWANGGA LAPTOP - TOKOPEDIA,29-01-2024,,CASING KOMPUTER,Casing Frame LCD Bagian Depan Warna Hitam Notebook Lenovo V310-14iKB,1,,"275,000.00",0,Dalam Proses,0%,KOMPUTER,4,
0017/PO/CD/I/2024/CIC/CIE,DUNIA PERAHU - JAKARTA,29-01-2024,7/3/2024,VALVE,Tutup pentil ban racer slide,12,12,"80,000.00","960,000.00",Finish,0%,MECHANICAL,4,38
0017/PO/CD/III/2024/CIC/AIMP,Toko Pasific Elektronik -  Jonggol,29-03-2024,23-04-2024,AC SPLIT WALL,AC 1/2 PK 1 UNIT BLOK O.16/03,1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,3,25
0017/PO/CD/III/2024/CIC/AIMP,Toko Pasific Elektronik -  Jonggol,29-03-2024,23-04-2024,AC SPLIT WALL,AC 1/2 PK 1 UNIT BLOK O.16/03,1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,3,25
0018/PO/CD/I/2024/CIC/CI,ZAROT199 - TOKOPEDIA,29-01-2024,,CASING KOMPUTER,Casing Keyboard Bagian Atas Warna Hitam Notebook Lenovo V310-14iKB,1,,"501,000.00",0,Dalam Proses,0%,KOMPUTER,4,
0018/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,31-01-2024,15-02-2024,DYNABOLT,Dinabolt ukuran 10 x 50 mm,8,8,"4,500.00","36,000.00",Finish,0%,MATERIAL KONSTRUKSI,1,15
0018/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,31-01-2024,15-02-2024,KABEL NYYHY,"Kabel Serabut NYYHY ukuran 2 X 0.75 mm, panjang 50meter/ roll",2,2,"325,000.00","650,000.00",Finish,0%,LISTRIK,1,15
0018/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,31-01-2024,15-02-2024,PANEL BOX,Dorados Duradus Kotak / Junction Box Delta 5/8 Putih Dx -121,4,4,"7,500.00","30,000.00",Finish,0%,AUDIO DAN VISUAL,1,15
0018/PO/CD/I/2024/CIC/CIE,Toko Pasific Elektronik -  Jonggol,31-01-2024,15-02-2024,PIPA CONDUIT,"Pipa conduit pvc, ukuran 20 mm, panjang 3 m",35,35,"15,000.00","525,000.00",Finish,0%,MATERIAL KONSTRUKSI,1,15
0018/PO/CD/III/2024/CIC/MKES,Toko Pasific Elektronik -  Jonggol,5/3/2024,13-03-2024,AC SPLIT WALL,"AC 1/2PK, Tipe KR5AHQ",1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,0,8
0018/PO/CD/IV/2024/CIC/AIMP,PT. PLATBOARD LUTDESINDO,2/4/2024,29-04-2024,BANNER,"Bahan flexi, materi Permai, ukuran 269 x 90 cm",3,3,"54,473.00","163,419.00",Finish,0%,MEDIA INFORMASI,1,27
0019/PO/CD/I/2024/CIC/CIE,BAKTI PERCETAKAN - JAKARTA,31-01-2024,19-02-2024,FLYER,"Materi waterpark, ukuran A5, warna : Colourfull",25,25,"338,000.00","8,450,000.00",Finish,0%,MEDIA INFORMASI,2,19
0019/PO/CD/II/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,6/2/2024,6/3/2024,BANNER,"Bahan flexi, ukuran 75 x 2,1 meter",1,1,"3,543,750.00","3,543,750.00",Finish,0%,MEDIA INFORMASI,4,29
0019/PO/CD/II/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,6/2/2024,6/3/2024,BANNER,"Bahan flexi, ukuran 25,1 x 2,1 meter",1,1,"1,185,975.00","1,185,975.00",Finish,0%,MEDIA INFORMASI,4,29
0019/PO/CD/II/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,6/2/2024,6/3/2024,BANNER,"Bahan flexi, ukuran 69,5 x 2,1 meter",1,1,"3,283,875.00","3,283,875.00",Finish,0%,MEDIA INFORMASI,4,29
0019/PO/CD/II/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,6/2/2024,6/3/2024,BANNER,"Bahan flexi, ukuran 150 x 2,1 meter",1,1,"7,087,500.00","7,087,500.00",Finish,0%,MEDIA INFORMASI,4,29
